Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms),Gehen – Dauer (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,16.29687515857293,,,,,,,,,,,,73.0,73.0,73.0,219693,
00:30:00.000+05:30,00:45:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
00:45:00.000+05:30,01:00:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
01:00:00.000+05:30,01:15:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
01:15:00.000+05:30,01:30:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
01:30:00.000+05:30,01:45:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
01:45:00.000+05:30,02:00:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
02:00:00.000+05:30,02:15:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
02:15:00.000+05:30,02:30:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
02:30:00.000+05:30,02:45:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
02:45:00.000+05:30,03:00:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
03:00:00.000+05:30,03:15:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
03:15:00.000+05:30,03:30:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
03:30:00.000+05:30,03:45:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
03:45:00.000+05:30,04:00:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
04:00:00.000+05:30,04:15:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
04:15:00.000+05:30,04:30:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
04:30:00.000+05:30,04:45:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
04:45:00.000+05:30,05:00:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
05:00:00.000+05:30,05:15:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
05:15:00.000+05:30,05:30:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
05:30:00.000+05:30,05:45:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
05:45:00.000+05:30,06:00:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
06:00:00.000+05:30,06:15:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
06:15:00.000+05:30,06:30:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
06:30:00.000+05:30,06:45:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
06:45:00.000+05:30,07:00:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
07:00:00.000+05:30,07:15:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
07:15:00.000+05:30,07:30:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
07:30:00.000+05:30,07:45:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
07:45:00.000+05:30,08:00:00.000+05:30,3,16.29687515857293,111.72099304199219,,,,,,,0.49584630104400407,0.7936186194419861,0.3536462187767029,195,,,,578927,
08:00:00.000+05:30,08:15:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
08:15:00.000+05:30,08:30:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
08:30:00.000+05:30,08:45:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
08:45:00.000+05:30,09:00:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
09:00:00.000+05:30,09:15:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
09:15:00.000+05:30,09:30:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
09:30:00.000+05:30,09:45:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
09:45:00.000+05:30,10:00:00.000+05:30,,16.29687515857293,,,,,,,,,,,,,,,900000,
10:00:00.000+05:30,10:15:00.000+05:30,,16.29687515857293,,,,,,,,1.9112733909160415,4.373635768890381,0.5796620845794678,,,,,900000,
10:15:00.000+05:30,10:30:00.000+05:30,4,25.174075542980496,131.36878395080566,,,,,,,0.7143372255246687,0.9112791419029236,0.31382301449775696,241,,,,749406,150594
10:30:00.000+05:30,10:45:00.000+05:30,,16.296873785733997,,,,,,,,,,,,,,,900000,
10:45:00.000+05:30,11:00:00.000+05:30,,16.296873785733997,,,,,,,,,,,,,,,900000,
11:00:00.000+05:30,11:15:00.000+05:30,1,20.60949514226187,45.190513610839844,,,,,,,0.821244478225708,0.821244478225708,0.821244478225708,82,,,,826840,73160
11:15:00.000+05:30,11:30:00.000+05:30,,16.296874855097123,,,,,,,,,,,,,,,900000,
11:30:00.000+05:30,11:45:00.000+05:30,1,24.407635871768424,30.127010345458984,,,,,,,0.5868027210235596,0.5868027210235596,0.5868027210235596,60,,,,762408,137592
11:45:00.000+05:30,12:00:00.000+05:30,2,19.998195239275855,48.32874369621277,,,,,,,0.8175026178359985,0.8537434935569763,0.7812617421150208,113,,,,686539,62790
12:00:00.000+05:30,12:15:00.000+05:30,,16.296873952679018,,,,,,,,,,,,,,,869938,
12:15:00.000+05:30,12:30:00.000+05:30,,16.296873952679018,,,,,,,,,,,,,,,900000,
12:30:00.000+05:30,12:45:00.000+05:30,,16.296873952679018,,,,,,,,,,,,,,,900000,
12:45:00.000+05:30,13:00:00.000+05:30,,16.296873952679018,,,,,,,,,,,,,,,900000,
13:00:00.000+05:30,13:15:00.000+05:30,,16.296873952679018,,,,,,,,,,,,,,,900000,
13:15:00.000+05:30,13:30:00.000+05:30,,16.296873952679018,,,,,,,,,,,,,,,900000,
13:30:00.000+05:30,13:45:00.000+05:30,,16.296873952679018,,,,,,,,,,,,,,,900000,
13:45:00.000+05:30,14:00:00.000+05:30,,16.296873952679018,,,,,,,,,,,,,,,900000,
14:00:00.000+05:30,14:15:00.000+05:30,,16.296873952679018,,,,,,,,,,,,,,,900000,
14:15:00.000+05:30,14:30:00.000+05:30,,16.296873952679018,,,,,,,,,,,,,,,900000,
14:30:00.000+05:30,14:45:00.000+05:30,,16.296873952679018,,,,,,,,,,,,,,,900000,
14:45:00.000+05:30,15:00:00.000+05:30,,16.296873952679018,,,,,,,,,,,,,,,900000,
15:00:00.000+05:30,15:15:00.000+05:30,,16.296873952679018,,,,,,,,,,,,,,,900000,
15:15:00.000+05:30,15:30:00.000+05:30,,16.296873952679018,,,,,,,,,,,,,,,900000,
15:30:00.000+05:30,15:45:00.000+05:30,,16.296873952679018,,,,,,,,,,,,,,,900000,
15:45:00.000+05:30,16:00:00.000+05:30,,16.296873952679018,,,,,,,,,,,,,,,900000,
16:00:00.000+05:30,16:15:00.000+05:30,,16.296873952679018,,,,,,,,,,,,,,,900000,
16:15:00.000+05:30,16:30:00.000+05:30,,16.296873952679018,,,,,,,,,,,,,,,900000,
16:30:00.000+05:30,16:45:00.000+05:30,,16.296873952679018,,,,,,,,,,,,,,,900000,
16:45:00.000+05:30,17:00:00.000+05:30,,16.296873952679018,,,,,,,,,,,,,,,900000,
17:00:00.000+05:30,17:15:00.000+05:30,,16.296873952679018,,,,,,,,,,,,,,,900000,
17:15:00.000+05:30,17:30:00.000+05:30,6,35.927530180512534,256.24381157172974,,,,,,,0.7540338046526842,0.8733075261116028,0.6870790719985962,425,,,,566983,333017
17:30:00.000+05:30,17:45:00.000+05:30,3,22.748650060972288,109.71789029823488,,,,,,,0.4343570759746988,0.9209014773368835,0.2874692976474762,176,,,,30121,109449
17:45:00.000+05:30,18:00:00.000+05:30,,16.296874506180703,,,,,,,,,,,,,,,91405,
18:00:00.000+05:30,18:15:00.000+05:30,,16.296874506180703,,,,,,,,,,,,,,,900000,
18:15:00.000+05:30,18:30:00.000+05:30,,16.296874506180703,,,,,,,,,,,,,,,900000,
18:30:00.000+05:30,18:45:00.000+05:30,,19.84937018216917,,,,,,,,,,,,,,,800623,60265
18:45:00.000+05:30,19:00:00.000+05:30,,16.29687411658492,,,,,,,,,,,,,,,900000,
19:00:00.000+05:30,19:15:00.000+05:30,,16.29687411658492,,,,,,,,0.6298460364341736,0.7496920824050903,0.5099999904632568,,,,,900000,
19:15:00.000+05:30,19:30:00.000+05:30,9,55.947775051455466,422.921170418934,,,,,,,0.7906064379341025,0.8958919644355774,0.5217483639717102,697,,,,227357,672643
19:30:00.000+05:30,19:45:00.000+05:30,3,25.222080439434734,127.4593294804533,,,,,,,0.8706102967262268,0.8873317837715149,0.8538888096809387,203,,,,747363,151408
19:45:00.000+05:30,20:00:00.000+05:30,,16.296873797428706,,,,,,,,,,,,,,,900000,
20:00:00.000+05:30,20:15:00.000+05:30,,16.296873797428706,,,,,,,,,,,,,,,900000,
20:15:00.000+05:30,20:30:00.000+05:30,,16.296873797428706,,,,,,,,,,,,,,,900000,
20:30:00.000+05:30,20:45:00.000+05:30,,16.296873797428706,,,,,,,,,,,,,,,900000,
20:45:00.000+05:30,21:00:00.000+05:30,,16.296873797428706,,,,,,,,,,,,,,,861129,
21:00:00.000+05:30,21:15:00.000+05:30,,16.296873797428706,,,,,,,,,,,,,,,900000,
21:15:00.000+05:30,21:30:00.000+05:30,,16.296873797428706,,,,,,,,,,,,,,,900000,
21:30:00.000+05:30,21:45:00.000+05:30,,16.296873797428706,,,,,,,,,,,,,,,900000,
21:45:00.000+05:30,22:00:00.000+05:30,,16.296873797428706,,,,,,,,,,,,,,,900000,
22:00:00.000+05:30,22:15:00.000+05:30,,16.296873797428706,,,,,,,,,,,,,,,900000,
22:15:00.000+05:30,22:30:00.000+05:30,,16.296873797428706,,,,,,,,,,,,,,,900000,
22:30:00.000+05:30,22:45:00.000+05:30,,16.296873797428706,,,,,,,,,,,,,,,900000,
22:45:00.000+05:30,23:00:00.000+05:30,,16.296873797428706,,,,,,,,,,,,,,,900000,
23:00:00.000+05:30,23:15:00.000+05:30,,16.296873797428706,,,,,,,,,,,,,,,900000,
23:15:00.000+05:30,23:30:00.000+05:30,,16.296873797428706,,,,,,,,,,,,,,,769518,
23:30:00.000+05:30,23:45:00.000+05:30,,16.296873797428706,,,,,,,,,,,,,,,900000,
23:45:00.000+05:30,00:00:00.000+05:30,,16.296873797428706,,,,,,,,,,,,,,,900000,
