Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Gehen – Dauer (ms),Laufen – Dauer (ms),Krafttraining – Dauer (ms),Intervalltraining – Dauer (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
07:00:00.000+05:30,07:15:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
07:15:00.000+05:30,07:30:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
07:30:00.000+05:30,07:45:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,16.29687358193947,,,,,,,,,,,,,,,,,,
08:00:00.000+05:30,08:15:00.000+05:30,1,16.29687358193947,24.529975785888844,,,,,,,0.5697399377822876,0.8465784192085266,0.2929014563560486,39,,,,,,,
08:15:00.000+05:30,08:30:00.000+05:30,2,20.774207063389827,109.15862952264386,,,,,,,0.3837376877524798,0.7306371331214905,0.3016088008880615,188,,,,,33419,,
08:30:00.000+05:30,08:45:00.000+05:30,,16.29687304501448,,,,,,,,,,,,,,,,,,
08:45:00.000+05:30,09:00:00.000+05:30,,16.29687304501448,19.457027435302734,,,,,,,0.6188414096832275,0.6188414096832275,0.6188414096832275,36,,,,,,,
09:00:00.000+05:30,09:15:00.000+05:30,,16.29687304501448,,,,,,,,,,,,,,,,,,
09:15:00.000+05:30,09:30:00.000+05:30,,16.29687304501448,,,,,,,,,,,,,,,,,,
09:30:00.000+05:30,09:45:00.000+05:30,,16.29687304501448,,,,,,,,,,,,,,,,,,
09:45:00.000+05:30,10:00:00.000+05:30,,16.29687304501448,,,,,,,,,,,,,,,,,,
10:00:00.000+05:30,10:15:00.000+05:30,1,24.114898516246,59.32670700550079,,,,,,,0.8113947510719299,0.8113947510719299,0.8113947510719299,105,,,,132625,,,
10:15:00.000+05:30,10:30:00.000+05:30,,16.296874613525233,,,,,,,,,,,,,,,,,,
10:30:00.000+05:30,10:45:00.000+05:30,,16.296874613525233,,,,,,,,,,,,,,,,,,
10:45:00.000+05:30,11:00:00.000+05:30,,16.296874613525233,,,,,,,,,,,,,,,,,,
11:00:00.000+05:30,11:15:00.000+05:30,,16.296874613525233,,,,,,,,,,,,,,,,,,
11:15:00.000+05:30,11:30:00.000+05:30,,16.296874613525233,,,,,,,,,,,,,,,,,,
11:30:00.000+05:30,11:45:00.000+05:30,,16.296874613525233,13.180566787719727,,,,,,,,,,78,,,,,,,
11:45:00.000+05:30,12:00:00.000+05:30,,19.85161042824034,15.063505172729492,,,,,,,0.3296077847480774,0.3296077847480774,0.3296077847480774,36,,,,60303,,,
12:00:00.000+05:30,12:15:00.000+05:30,4,30.519294650676777,107.95511543750763,,,,,,,0.7486120469867736,0.8214851021766663,0.6757955551147461,207,,,,241271,,,
12:15:00.000+05:30,12:30:00.000+05:30,,16.296874330225812,,,,,,,,,,,12,,,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,,16.296874330225812,,,,,,,,,,,,,,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,,16.296874330225812,,,,,,,,,,,,,,,,,,
13:00:00.000+05:30,13:15:00.000+05:30,,16.296874330225812,,,,,,,,,,,,,,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,,16.296874330225812,,,,,,,,,,,,,,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,16.296874330225812,,,,,,,,,,,,,,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,16.296874330225812,,,,,,,,,,,,,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,16.296874330225812,,,,,,,,,,,,,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,16.296874330225812,,,,,,,,,,,,,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,16.296874330225812,,,,,,,,,,,,,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,16.296874330225812,,,,,,,,,,,,,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,16.296874330225812,,,,,,,,,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,16.296874330225812,,,,,,,,,,,,,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,16.296874330225812,,,,,,,,,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,16.296874330225812,,,,,,,,,,,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,16.296874330225812,,,,,,,,,,,,,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,16.296874330225812,,,,,,,,,,,,,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,16.296874330225812,,,,,,,,,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,1,16.296874330225812,42.679931640625,,,,,,,0.31382301449775696,0.31382301449775696,0.31382301449775696,71,,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,19.849665702857116,9.414690136909485,,,,,,,0.697248101234436,0.697248101234436,0.697248101234436,56,,,,60270,,,
17:15:00.000+05:30,17:30:00.000+05:30,,16.296874891391194,,,,,,,,,,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,16.296874891391194,,,,,,,,,,,,,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,1,16.296874891391194,29.232283384799292,,,,,,,0.7021404504776001,0.7021404504776001,0.7021404504776001,66,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,1,16.296874891391194,25.37292238950796,,,,,,,0.4222169518470764,0.4222169518470764,0.4222169518470764,40,,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,16.296874891391194,13.180566787719727,,,,,,,0.8304506540298462,0.8304506540298462,0.8304506540298462,53,,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,24.573750539341358,31.382301807403564,,,,,,,0.31382301449775696,0.31382301449775696,0.31382301449775696,88,,,,140410,,,
18:45:00.000+05:30,19:00:00.000+05:30,3,16.296873450725816,165.48204231262207,,,,,,,0.591019511197378,1.000292181968689,0.31382298469543457,275,,,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,16.296873450725816,,,,,,,,,,,,,,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,16.296873450725816,,,,,,,,,,,,,,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,,16.296873450725816,,,,,,,,,,,,,,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,5,22.795174180505064,135.56083846092224,,,,,,,0.5300362286471496,0.7778267860412598,0.31382301449775696,253,,,,110238,,,
20:00:00.000+05:30,20:15:00.000+05:30,1,16.296875144248304,23.850549697875977,,,,,,,0.31382301449775696,0.31382301449775696,0.31382301449775696,38,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,16.296875144248304,,,,,,,,,,,,,,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,16.296875144248304,,,,,,,,,,,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,16.296875144248304,,,,,,,,,,,,,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,,16.296875144248304,,,,,,,,,,,,,,,,,,
21:15:00.000+05:30,21:30:00.000+05:30,,16.296875144248304,,,,,,,,,,,,,,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,,16.296875144248304,,,,,,,,,,,,,,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,11,54.556993498572524,,11.0,11,,,,,,,,,,,,,,715331,
22:00:00.000+05:30,22:15:00.000+05:30,10,51.42847520741029,,11.0,10,,,,,,,,,,,,,,583669,60000
22:15:00.000+05:30,22:30:00.000+05:30,15,75.0,,16.0,15,,,,,,,,,,,,,,,900000
22:30:00.000+05:30,22:45:00.000+05:30,2,26.651055506397633,,2.0,2,,,,,,,,,,,,42870,,,120000
22:45:00.000+05:30,23:00:00.000+05:30,,17.660457410370956,,,,,,,,,,,,,,,23132,,,
23:00:00.000+05:30,23:15:00.000+05:30,,16.2968742179957,,,,,,,,,,,,,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,16.2968742179957,,,,,,,,,,,,,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,16.2968742179957,,,,,,,,,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,16.2968742179957,,,,,,,,,,,,,,,,,,
