Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms),Seilspringen – Dauer (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
06:00:00.000+05:30,06:15:00.000+05:30,1,16.296875765320074,24.797769469887623,,,,,,,,,,40,,,,,
06:15:00.000+05:30,06:30:00.000+05:30,15,16.296875765320074,282.4407110536672,,,,,,,0.31382301449775696,0.31382301449775696,0.31382301449775696,450,,,,,
06:30:00.000+05:30,06:45:00.000+05:30,13,16.296875765320074,253.2494345155076,,,,,,,,,,403,,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
07:00:00.000+05:30,07:15:00.000+05:30,1,16.296875765320074,27.049730248585508,,,,,,,,,,43,,,,,
07:15:00.000+05:30,07:30:00.000+05:30,5,16.296875765320074,112.28768735395354,,,,,,,0.31382301449775696,0.31382301449775696,0.31382301449775696,179,,,,,
07:30:00.000+05:30,07:45:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
08:00:00.000+05:30,08:15:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
08:15:00.000+05:30,08:30:00.000+05:30,3,16.296875765320074,83.47692108154297,,,,,,,0.31382301449775696,0.31382301449775696,0.31382301449775696,133,,,,,
08:30:00.000+05:30,08:45:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
08:45:00.000+05:30,09:00:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
