Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Gehen – Dauer (ms),Krafttraining – Dauer (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,15.45052019871275,,,,,,,,,,,,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,15.45052019871275,,,,,,,,,,,1,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,15.45052019871275,,,,,,,,,,,,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,15.45052019871275,,,,,,,,,,,22,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,15.45052019871275,,,,,,,,,,,30,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,15.45052019871275,,,,,,,,,,,12,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,15.45052019871275,,,,,,,,,,,1,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,15.45052019871275,,,,,,,,,,,13,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,15.45052019871275,,,,,,,,,,,7,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,15.45052019871275,,,,,,,,,,,,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,15.45052019871275,,,,,,,,,,,,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,15.45052019871275,,,,,,,,,,,,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,15.45052019871275,,,,,,,,,,,,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,15.45052019871275,,,,,,,,,,,,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,15.45052019871275,,,,,,,,,,,,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,15.45052019871275,,,,,,,,,,,,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,15.45052019871275,,,,,,,,,,,,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,15.45052019871275,,,,,,,,,,,,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,15.45052019871275,,,,,,,,,,,,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,15.45052019871275,,,,,,,,,,,,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,15.45052019871275,,,,,,,,,,,,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,15.45052019871275,,,,,,,,,,,,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,15.45052019871275,,,,,,,,,,,10,,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,15.45052019871275,,,,,,,,,,,10,,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,15.45052019871275,,,,,,,,,,,13,,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,15.45052019871275,,,,,,,,,,,6,,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,15.45052019871275,,,,,,,,,,,11,,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,15.45052019871275,,,,,,,,,,,,,,,,
07:00:00.000+05:30,07:15:00.000+05:30,,15.45052019871275,,,,,,,,,,,13,,,,,
07:15:00.000+05:30,07:30:00.000+05:30,1,16.40653212222836,62.7423366882892,,,,,,,0.3000495636636698,0.30141347646713257,0.2986856698989868,154,,,,17506,
07:30:00.000+05:30,07:45:00.000+05:30,6,41.20129654546542,193.1186003046871,,,,,,,0.39188388836966476,0.6244551539421082,0.2813192307949066,339,,,,471535,
07:45:00.000+05:30,08:00:00.000+05:30,1,22.368637001161623,53.389290935185315,,,,,,,0.33437713890184056,0.5438315868377686,0.275545209646225,114,,,,126681,
08:00:00.000+05:30,08:15:00.000+05:30,,15.450519636365536,,,,,,,,,,,4,,,,,
08:15:00.000+05:30,08:30:00.000+05:30,,15.450519636365536,15.270687103271484,,,,,,,1.1621826887130737,1.1621826887130737,1.1621826887130737,42,,,,,
08:30:00.000+05:30,08:45:00.000+05:30,,15.450519636365536,,,,,,,,,,,6,,,,,
08:45:00.000+05:30,09:00:00.000+05:30,2,15.450519636365536,72.3392333984375,,,,,,,0.35311852395534515,0.40482357144355774,0.30141347646713257,165,,,,,
09:00:00.000+05:30,09:15:00.000+05:30,,15.450519636365536,,,,,,,,,,,,,,,,
09:15:00.000+05:30,09:30:00.000+05:30,,15.450519636365536,,,,,,,,,,,,,,,,
09:30:00.000+05:30,09:45:00.000+05:30,,15.450519636365536,,,,,,,,,,,,,,,,
09:45:00.000+05:30,10:00:00.000+05:30,,15.450519636365536,,,,,,,,,,,4,,,,,
10:00:00.000+05:30,10:15:00.000+05:30,,15.450519636365536,,,,,,,,,,,,,,,,
10:15:00.000+05:30,10:30:00.000+05:30,,15.450519636365536,,,,,,,,,,,,,,,,
10:30:00.000+05:30,10:45:00.000+05:30,,15.450519636365536,,,,,,,,,,,,,,,,
10:45:00.000+05:30,11:00:00.000+05:30,,15.450519636365536,,,,,,,,,,,,,,,,
11:00:00.000+05:30,11:15:00.000+05:30,,15.450519636365536,,,,,,,,,,,,,,,,
11:15:00.000+05:30,11:30:00.000+05:30,,15.450519636365536,,,,,,,,,,,,,,,,
