Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Gehen – Dauer (ms),Laufen – Dauer (ms),Krafttraining – Dauer (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,15.450519712907063,,,,,,,,,,,,,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,15.450519712907063,,,,,,,,,,,,,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,15.450519712907063,,,,,,,,,,,80,,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,15.450519712907063,,,,,,,,,,,4,,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,15.450519712907063,,,,,,,,,,,6,,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,15.450519712907063,,,,,,,,,,,8,,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,15.450519712907063,,,,,,,,,,,1,,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,15.450519712907063,,,,,,,,,,,5,,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,15.450519712907063,,,,,,,,,,,8,,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,15.450519712907063,,,,,,,,,,,3,,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,15.450519712907063,,,,,,,,,,,4,,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,15.450519712907063,,,,,,,,,,,,,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,15.450519712907063,,,,,,,,,,,,,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,15.450519712907063,,,,,,,,,,,,,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,15.450519712907063,,,,,,,,,,,,,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,15.450519712907063,,,,,,,,,,,,,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,15.450519712907063,,,,,,,,,,,,,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,15.450519712907063,,,,,,,,,,,,,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,15.450519712907063,,,,,,,,,,,,,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,15.450519712907063,,,,,,,,,,,,,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,15.450519712907063,,,,,,,,,,,,,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,15.450519712907063,,,,,,,,,,,,,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,15.450519712907063,,,,,,,,,,,,,,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,15.450519712907063,,,,,,,,,,,,,,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,15.450519712907063,,,,,,,,,,,,,,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,15.450519712907063,,,,,,,,,,,18,,,,,,
06:30:00.000+05:30,06:45:00.000+05:30,2,24.920997524330723,,2.0,2,,,,,,,,4,,,,,,136267
06:45:00.000+05:30,07:00:00.000+05:30,15,78.0,,15.0,15,,,,,,,,,,,,,,900000
07:00:00.000+05:30,07:15:00.000+05:30,,16.404956484172985,,,,,,,,,,,,,,,,,13733
