Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg)
00:00:00.000+05:30,00:15:00.000+05:30,,15.450520815159237,,,,,,,,,,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,15.450520815159237,,,,,,,,,,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,15.450520815159237,,,,,,,,,,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,15.450520815159237,,,,,,,,,,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,15.450520815159237,,,,,,,,,,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,15.450520815159237,,,,,,,,,,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,15.450520815159237,,,,,,,,,,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,15.450520815159237,,,,,,,,,,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,15.450520815159237,,,,,,,,,,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,15.450520815159237,,,,,,,,,,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,15.450520815159237,,,,,,,,,,,1,,,
02:45:00.000+05:30,03:00:00.000+05:30,,15.450520815159237,,,,,,,,,,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,15.450520815159237,,,,,,,,,,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,15.450520815159237,,,,,,,,,,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,15.450520815159237,,,,,,,,,,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,15.450520815159237,,,,,,,,,,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,15.450520815159237,,,,,,,,,,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,15.450520815159237,,,,,,,,,,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,15.450520815159237,,,,,,,,,,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,15.450520815159237,,,,,,,,,,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,15.450520815159237,,,,,,,,,,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,15.450520815159237,,,,,,,,,,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,15.450520815159237,,,,,,,,,,,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,15.450520815159237,,,,,,,,,,,9,,,
06:00:00.000+05:30,06:15:00.000+05:30,,15.450520448637228,,,,,,,,,,,24,,,
06:15:00.000+05:30,06:30:00.000+05:30,,15.450519377466728,,,,,,,,,,,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,15.450519377466728,,,,,,,,,,,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,15.450519377466728,,,,,,,,,,,,,,
07:00:00.000+05:30,07:15:00.000+05:30,,15.450519377466728,,,,,,,,,,,,,,
07:15:00.000+05:30,07:30:00.000+05:30,,15.450519377466728,,,,,,,,,,,,,,
07:30:00.000+05:30,07:45:00.000+05:30,,15.450519377466728,,,,,,,,,,,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,15.450519377466728,,,,,,,,,,,,,,
08:00:00.000+05:30,08:15:00.000+05:30,,15.450519377466728,,,,,,,,,,,,,,
08:15:00.000+05:30,08:30:00.000+05:30,,15.450519377466728,,,,,,,,,,,,,,
08:30:00.000+05:30,08:45:00.000+05:30,,15.450519377466728,,,,,,,,,,,,,,
08:45:00.000+05:30,09:00:00.000+05:30,,15.450519377466728,,,,,,,,,,,,,,
09:00:00.000+05:30,09:15:00.000+05:30,,15.450519377466728,,,,,,,,,,,,,,
09:15:00.000+05:30,09:30:00.000+05:30,,15.450519377466728,,,,,,,,,,,,,,
09:30:00.000+05:30,09:45:00.000+05:30,,15.450519377466728,,,,,,,,,,,,,,
09:45:00.000+05:30,10:00:00.000+05:30,,15.450519377466728,,,,,,,,,,,,,,
10:00:00.000+05:30,10:15:00.000+05:30,,15.450519377466728,,,,,,,,,,,,,,
10:15:00.000+05:30,10:30:00.000+05:30,,15.450519387486933,,,,,,,,,,,15,,,
10:30:00.000+05:30,10:45:00.000+05:30,,15.450520119787999,,,,,,,,,,,3,,,
10:45:00.000+05:30,11:00:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
11:00:00.000+05:30,11:15:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
11:15:00.000+05:30,11:30:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
11:30:00.000+05:30,11:45:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
11:45:00.000+05:30,12:00:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
12:00:00.000+05:30,12:15:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
12:15:00.000+05:30,12:30:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
13:00:00.000+05:30,13:15:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,15.450520119787999,,,,,,,,,,,1,,,
16:45:00.000+05:30,17:00:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,15.450520119787999,,,,,,,,,,,1,,,
19:30:00.000+05:30,19:45:00.000+05:30,,15.450520119787999,18.68763542175293,,,,,,,0.3093070089817047,0.3093070089817047,0.3093070089817047,52,,,
19:45:00.000+05:30,20:00:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,15.450520119787999,,,,,,,,,,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,15.450519959013672,,,,,,,,,,,1,,,
20:45:00.000+05:30,21:00:00.000+05:30,,15.450519794069255,,,,,,,,,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,,15.450519794069255,,,,,,,,,,,,,,
21:15:00.000+05:30,21:30:00.000+05:30,,15.450519794069255,,,,,,,,,,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,,15.450519794069255,,,,,,,,,,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,,15.450519794069255,,,,,,,,,,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,15.450519794069255,,,,,,,,,,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,15.450519794069255,,,,,,,,,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,15.450519794069255,,,,,,,,,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,15.450519794069255,,,,,,,,,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,15.450519794069255,,,,,,,,,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,15.450519794069255,,,,,,,,,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,15.450519794069255,,,,,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,15.450519794069255,,,,,,,,,,,,,,
