Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Laufen – Dauer (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,15.450519687157206,,,,,,,,,,,15,,,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,15.450519687157206,,,,,,,,,,,15,,,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
06:30:00.000+05:30,06:45:00.000+05:30,3,15.450519687157206,87.06689830198309,,,,,,,0.4418618679046631,0.5823102593421936,0.30141347646713257,155,,,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,15.450519687157206,15.849715276813301,,,,,,,0.39524200558662415,0.39524200558662415,0.39524200558662415,26,,,,,,
07:00:00.000+05:30,07:15:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
07:15:00.000+05:30,07:30:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
07:30:00.000+05:30,07:45:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,15.450519687157206,,,,,,,,,,,,,,,,,
08:00:00.000+05:30,08:15:00.000+05:30,4,30.477972712548166,128.40214157104492,,,,,,,0.4404930333003438,0.5708418488502502,0.30141347646713257,176,,,,,275175,
08:15:00.000+05:30,08:30:00.000+05:30,,15.45051924857643,,,,,,,,,,,,,,,,,
08:30:00.000+05:30,08:45:00.000+05:30,,15.45051924857643,,,,,,,,,,,,,,,,,
08:45:00.000+05:30,09:00:00.000+05:30,,15.45051924857643,,,,,,,,,,,,,,,,,
09:00:00.000+05:30,09:15:00.000+05:30,9,38.96940447301666,439.8496551513672,2.0,2,,,,,0.7904610205916947,1.2371553182601929,0.5288518667221069,712,,,,,430665,
09:15:00.000+05:30,09:30:00.000+05:30,,15.450520806550891,,,,,,,,,,,,,,,,,
09:30:00.000+05:30,09:45:00.000+05:30,2,19.184860343987644,113.37517501668722,1.0,1,,,,,0.8877807326147307,1.2573246955871582,0.30141347646713257,174,,,,,68382,
09:45:00.000+05:30,10:00:00.000+05:30,8,33.1456958191475,410.6715130631468,4.0,4,,,,,0.7920367242342545,1.3433884382247925,0.25102269649505615,641,,,,,324025,
10:00:00.000+05:30,10:15:00.000+05:30,3,15.450519762763808,135.0332374572754,,,,,,,0.39529965381541804,0.7245367765426636,0.26122501492500305,294,,,,,,
10:15:00.000+05:30,10:30:00.000+05:30,4,28.435976349750863,182.33667042476094,,,,,,,0.4492354498859511,1.2306245565414429,0.2788529098033905,334,,,,,237783,
10:30:00.000+05:30,10:45:00.000+05:30,8,20.158064041526252,200.38615998971812,,,,,,,0.4915170874375698,1.37757408618927,0.30141347646713257,361,,,,,86202,
10:45:00.000+05:30,11:00:00.000+05:30,12,26.96556771961176,599.0700954201767,3.0,3,,,,,0.9236162767265282,1.3254557847976685,0.3813900053501129,970,,,,,210858,
11:00:00.000+05:30,11:15:00.000+05:30,9,15.450519970479604,430.29850929450396,,,,,,,0.6758120069279927,1.0380806922912598,0.27127209305763245,703,,,,,,
11:15:00.000+05:30,11:30:00.000+05:30,14,51.16244458473085,337.8610828571379,15.0,14,,,,,1.4422171846320324,1.740356206893921,0.767344057559967,1397,,,,611628,,
11:30:00.000+05:30,11:45:00.000+05:30,15,67.99999800749903,,15.0,15,,,,,,,,1129,,,,900000,,
11:45:00.000+05:30,12:00:00.000+05:30,15,67.99999800749903,,15.0,15,,,,,,,,1603,,,,900000,,
12:00:00.000+05:30,12:15:00.000+05:30,15,67.99999800749903,,15.0,15,,,,,,,,1455,,,,900000,,
12:15:00.000+05:30,12:30:00.000+05:30,10,45.33307331378063,31.621662760306556,8.0,8,,,,,0.3407800942659378,0.3801467716693878,0.3014134168624878,437,,,,511790,,
12:30:00.000+05:30,12:45:00.000+05:30,9,22.345863995369914,409.50809264136575,2.0,2,,,,,0.5958174955785468,1.2162675857543945,0.26122501492500305,657,,,,,126264,
12:45:00.000+05:30,13:00:00.000+05:30,6,20.928665795355826,241.36735639566047,,,,,,,0.7417245069526984,1.0865339040756226,0.2813192307949066,465,,,,,100313,
13:00:00.000+05:30,13:15:00.000+05:30,1,15.996861006377685,71.90246170710017,,,,,,,0.8546941087890101,1.1893094778060913,0.2891234755516052,176,,,,,10005,
13:15:00.000+05:30,13:30:00.000+05:30,7,37.80663342459386,218.468302131191,,,,,,,0.7343657770320435,1.1376738548278809,0.3014134466648102,377,,,,,409373,
