Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Intervalltraining mit hoher Intensität – Dauer (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,15.554687965707096,,,,,,,,,,,,,,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,15.554687965707096,,,,,,,,,,,,,,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,15.554687965707096,,,,,,,,,,,,,,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,15.554687965707096,,,,,,,,,,,,,,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,15.554687965707096,,,,,,,,,,,,,,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,15.554687965707096,,,,,,,,,,,,,,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,15.554687965707096,,,,,,,,,,,,,,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,15.554687965707096,,,,,,,,,,,,,,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,15.554687965707096,,,,,,,,,,,,,,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,15.554687965707096,,,,,,,,,,,,,,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,15.554687965707096,,,,,,,,,,,,,,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,15.554687965707096,,,,,,,,,,,,,,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,15.554687965707096,,,,,,,,,,,,,,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,15.554687965707096,,,,,,,,,,,,,,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,15.554687965707096,,,,,,,,,,,,,,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,15.554687965707096,,,,,,,,,,,,,,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,15.554687965707096,,,,,,,,,,,,,,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,15.554687965707096,,,,,,,,,,,,,,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,1,15.554688092106549,53.6515998840332,,,,,,,0.2913663536310196,0.30141347646713257,0.2813192307949066,116,,,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,15.554688182035243,19.290462493896484,,,,,,,0.3014134466648102,0.3014134466648102,0.3014134466648102,32,,,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,15.554688182035243,,,,,,,,,,,16,,,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,1,15.554688182035243,37.97809982299805,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,81,,,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,5,50.61978760023414,,10.0,5,,,,,,,,,,,,,,,300000
05:45:00.000+05:30,06:00:00.000+05:30,15,120.74998643663194,,30.0,15,,,,,,,,,,,,,,,900000
06:00:00.000+05:30,06:15:00.000+05:30,7,64.64582674672849,,10.0,7,,,,,,,,,,,,,,,420000
06:15:00.000+05:30,06:30:00.000+05:30,3,15.554687018062976,85.28511548042297,,,,,,,0.4643762690360663,0.6147907972335815,0.30141347646713257,200,,,,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,15.554687018062976,,,,,,,,,,,,,,,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,15.554687018062976,,,,,,,,,,,,,,,,,,
07:00:00.000+05:30,07:15:00.000+05:30,6,22.10635011878878,197.69520711898804,,,,,,,0.546780650470192,0.9196755886077881,0.30141347646713257,325,,,,,,117941,
07:15:00.000+05:30,07:30:00.000+05:30,3,15.554685707051926,69.32510089874268,,,,,,,0.4698250591754914,0.6382366418838501,0.30141347646713257,115,,,,,,,
07:30:00.000+05:30,07:45:00.000+05:30,,15.554685707051926,17.48198127746582,,,,,,,0.2913663387298584,0.2913663387298584,0.2913663387298584,48,,,,,,,
07:45:00.000+05:30,08:00:00.000+05:30,2,15.554685707051926,119.993408203125,,,,,,,0.3503133514627752,0.7021818161010742,0.2511778771877289,229,,,,,,,
08:00:00.000+05:30,08:15:00.000+05:30,,15.554685707051926,,,,,,,,,,,,,,,,,,
08:15:00.000+05:30,08:30:00.000+05:30,,15.554685707051926,,,,,,,,,,,,,,,,,,
08:30:00.000+05:30,08:45:00.000+05:30,,15.554685707051926,,,,,,,,,,,,,,,,,,
