Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Laufen – Dauer (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
07:00:00.000+05:30,07:15:00.000+05:30,,15.554686226717786,,,,,,,,,,,,,,,
07:15:00.000+05:30,07:30:00.000+05:30,,15.554686226717786,17.76621483228374,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,29,,,,
07:30:00.000+05:30,07:45:00.000+05:30,7,15.554686226717786,318.98096229173973,,,,,,,0.8095429066150598,0.986997127532959,0.47463423013687134,516,,,,
07:45:00.000+05:30,08:00:00.000+05:30,4,15.554686955092286,100.10686779022217,,,,,,,0.4132142961025238,0.4229806065559387,0.4034479856491089,194,,,,
08:00:00.000+05:30,08:15:00.000+05:30,,15.554688081335964,,,,,,,,,,,,,,,
08:15:00.000+05:30,08:30:00.000+05:30,,15.554688081335964,,,,,,,,,,,,,,,
08:30:00.000+05:30,08:45:00.000+05:30,,15.554688081335964,,,,,,,,,,,,,,,
08:45:00.000+05:30,09:00:00.000+05:30,,15.554688081335964,,,,,,,,,,,,,,,
09:00:00.000+05:30,09:15:00.000+05:30,,15.554688081335964,,,,,,,,,,,,,,,
09:15:00.000+05:30,09:30:00.000+05:30,,15.554688081335964,,,,,,,,,,,,,,,
09:30:00.000+05:30,09:45:00.000+05:30,3,15.554688081335964,90.45566177368164,,,,,,,0.676304966211319,1.0511964559555054,0.30141347646713257,146,,,,
09:45:00.000+05:30,10:00:00.000+05:30,2,15.554688081335964,41.60952844735656,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,69,,,,
10:00:00.000+05:30,10:15:00.000+05:30,8,15.554688081335964,236.26623225634503,,,,,,,0.5888956869052879,0.9520658254623413,0.30141347646713257,386,,,,
10:15:00.000+05:30,10:30:00.000+05:30,10,15.554687474617243,495.019943327289,,,,,,,0.7944781964004319,1.0137653350830078,0.34524092078208923,814,,,,
10:30:00.000+05:30,10:45:00.000+05:30,4,15.554686863918919,114.14379317229165,,,,,,,0.6453018635511399,0.9821471571922302,0.30845656991004944,208,,,,
10:45:00.000+05:30,11:00:00.000+05:30,11,15.554686863918919,591.0497614789007,2.0,2,,,,,1.0536646224307147,1.2059638500213623,0.8222563862800598,941,,,,
11:00:00.000+05:30,11:15:00.000+05:30,1,15.554687282120767,25.93844007308133,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,43,,,,
11:15:00.000+05:30,11:30:00.000+05:30,,15.554687326336067,,,,,,,,,,,,,,,
11:30:00.000+05:30,11:45:00.000+05:30,,15.554687326336067,,,,,,,,,,,,,,,
11:45:00.000+05:30,12:00:00.000+05:30,,15.554687326336067,,,,,,,,,,,,,,,
12:00:00.000+05:30,12:15:00.000+05:30,,15.554687326336067,,,,,,,,,,,,,,,
12:15:00.000+05:30,12:30:00.000+05:30,,15.554687326336067,,,,,,,,,,,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,,15.554687326336067,,,,,,,,,,,,,,,
