index,reps,words,phoneme
wall,6.0,wall,W400
street,24.0,street,S630
also,15.0,also,A000
formerly,2.0,formerly,F564
known,2.0,known,KW50
national,6.0,national,N540
city,9.0,city,CY00
bank,3.0,bank,B200
building,8.0,building,B352
eightstory,1.0,eightstory,E323
william,1.0,william,W450
hanover,1.0,hanover,H160
streets,2.0,streets,S632
financial,1.0,financial,F524
district,2.0,district,D362
lower,1.0,lower,L600
manhattan,1.0,manhattan,MH35
new,11.0,new,N000
york,4.0,york,Y200
united,3.0,united,U300
states,3.0,states,S320
lowest,1.0,lowest,L230
three,2.0,three,T600
stories,4.0,stories,S620
completed,2.0,completed,C143
either,1.0,either,E600
fourstory,1.0,fourstory,F236
merchants,2.0,merchants,M2H5
exchange,3.0,exchange,EH52
designed,1.0,designed,D253
isaiah,1.0,isaiah,I000
rogers,1.0,rogers,R620
greek,1.0,greek,G200
revival,1.0,revival,R140
style,2.0,style,SY40
mckim,1.0,mckim,M250
mead,1.0,mead,M000
white,3.0,white,W300
removed,2.0,removed,R130
original,2.0,original,O540
fourth,2.0,fourth,F3H0
story,1.0,story,S6Y0
added,1.0,added,A300
five,3.0,five,F000
floors,3.0,floors,F620
create,2.0,create,C300
present,3.0,present,P253
facade,2.0,facade,F300
part,4.0,part,P300
interior,2.0,interior,I600
designated,1.0,designated,D253
landmarks,1.0,landmarks,L356
historic,3.0,historic,H362
landmark,1.0,landmark,L356
listed,2.0,listed,L300
register,1.0,register,R236
places,1.0,places,P200
nrhp,2.0,nrhp,NH10
contributing,1.0,contributing,C361
property,1.0,property,P163
granite,1.0,granite,G530
contains,1.0,contains,C352
two,4.0,two,T000
stacked,1.0,stacked,S230
colonnades,1.0,colonnades,C532
facing,1.0,facing,F520
twelve,1.0,twelve,T410
columns,2.0,columns,C520
inside,1.0,inside,I300
cruciform,1.0,cruciform,C216
banking,4.0,banking,B252
hall,3.0,hall,H400
vaulted,1.0,vaulted,V300
ceiling,1.0,ceiling,C520
corinthian,1.0,corinthian,C53H
marble,1.0,marble,M140
walls,1.0,walls,W420
entablature,1.0,entablature,E143
around,5.0,around,A300
among,2.0,among,A200
largest,1.0,largest,L230
offices,2.0,offices,O200
citibanks,1.0,citibanks,C152
predecessor,1.0,predecessor,P326
corners,1.0,corners,C562
eighth,1.0,eighth,E3H0
used,3.0,used,U000
office,1.0,office,O200
spacethe,1.0,spacethe,S23H
erected,1.0,erected,E300
replace,1.0,replace,R420
older,1.0,older,O600
structure,1.0,structure,S623
burned,1.0,burned,B530
great,2.0,great,G300
fire,1.0,fire,F000
subsequently,1.0,subsequently,S253
hosted,1.0,hosted,H300
stock,1.0,stock,S200
custom,2.0,custom,C350
house,2.0,house,H000
developed,1.0,developed,D413
bowling,1.0,bowling,B452
green,1.0,green,G500
buildings,1.0,buildings,B352
expansion,1.0,expansion,E525
served,1.0,served,S130
headquarters,1.0,headquarters,H263
though,1.0,though,T2H0
citibank,1.0,citibank,C152
continued,2.0,continued,C353
upper,1.0,upper,U600
operated,1.0,operated,O300
hotel,1.0,hotel,H400
renovated,1.0,renovated,R130
converted,1.0,converted,C163
condominiums,1.0,condominiums,C352
room,1.0,room,R000
became,2.0,became,B500
ballroom,1.0,ballroom,B465
ormenaria,1.0,ormenaria,O560
rufifascia,1.0,rufifascia,R120
palm,4.0,palm,P500
flatid,2.0,flatid,F300
planthopper,2.0,planthopper,P53H
species,1.0,species,S200
family,5.0,family,F4Y0
fulgoromorpha,1.0,fulgoromorpha,F265
article,8.0,article,A240
stub,8.0,stub,S100
help,8.0,help,H100
wikipedia,8.0,wikipedia,W130
expanding,8.0,expanding,E535
itwhite,1.0,itwhite,IH30
hills,3.0,hills,H420
got,14.0,got,G000
name,2.0,name,N000
higher,12.0,higher,HH60
altitude,1.0,altitude,A300
compared,20.0,compared,C163
rest,1.0,rest,R300
shelton,4.0,shelton,S435
rolling,1.0,rolling,R452
area,1.0,area,A000
named,38.0,named,N300
several,4.0,several,S640
reasons,2.0,reasons,R520
snow,10.0,snow,SW00
melted,2.0,melted,M300
slower,1.0,slower,SW60
spring,5.0,spring,S652
visible,1.0,visible,V140
lyme,1.0,lyme,L500
rock,8.0,rock,R200
wild,5.0,wild,W300
dogwood,1.0,dogwood,DW30
blossomswhite,1.0,blossomswhite,B252
bordered,1.0,bordered,B363
monroe,1.0,monroe,M600
north,16.0,north,N3H0
west,8.0,west,W300
housatonic,3.0,housatonic,H352
river,5.0,river,R600
east,10.0,east,E000
downtown,12.0,downtown,D53W
southeast,13.0,southeast,SH23
huntington,2.0,huntington,H352
southwest,1.0,southwest,SHW2
road,14.0,road,R000
borders,1.0,borders,B362
roughly,2.0,roughly,RH4Y
village,11.0,village,V420
beardsley,1.0,beardsley,B324
route,10.0,route,R000
leavenworth,1.0,leavenworth,L5W6
roads,7.0,roads,R200
south,9.0,south,SH00
however,6.0,however,H160
maple,6.0,maple,M400
avenue,6.0,avenue,A000
considered,1.0,considered,C236
claimed,6.0,claimed,C530
hillsthe,1.0,hillsthe,H423
cemetery,1.0,cemetery,C36Y
volunteer,1.0,volunteer,V536
department,26.0,department,D635
company,1.0,company,C15Y
formed,1.0,formed,F530
first,7.0,first,F230
truck,1.0,truck,T200
purchased,5.0,purchased,P2H2
costing,1.0,costing,C352
members,1.0,members,M162
signed,2.0,signed,S530
personal,1.0,personal,P254
notes,2.0,notes,N200
assure,4.0,assure,A600
payment,1.0,payment,P530
vehicle,2.0,vehicle,V240
held,2.0,held,H300
twoday,1.0,twoday,T3Y0
country,1.0,country,C36Y
fairs,2.0,fairs,F200
tremendous,2.0,tremendous,T532
amount,3.0,amount,A300
work,55.0,work,W200
attractions,1.0,attractions,A623
animals,1.0,animals,A420
produce,1.0,produce,P320
exhibit,1.0,exhibit,E130
baked,1.0,baked,B300
goods,5.0,goods,G200
table,6.0,table,T400
elephant,3.0,elephant,EH53
snack,2.0,snack,S200
bar,3.0,bar,B000
games,6.0,games,G200
chance,4.0,chance,C520
raffles,1.0,raffles,R142
square,7.0,square,S600
dancing,2.0,dancing,D252
many,3.0,many,MY00
frequently,2.0,frequently,F253
honors,18.0,honors,H620
local,1.0,local,L400
marching,1.0,marching,M2H5
parades,1.0,parades,P320
rural,8.0,rural,R400
character,1.0,character,C623
access,8.0,access,A200
nearby,10.0,nearby,N1Y0
shopping,3.0,shopping,S152
areas,25.0,areas,A000
section,11.0,section,S350
town,5.0,town,T500
equidistant,2.0,equidistant,E235
center,15.0,center,C360
recreational,1.0,recreational,R635
facility,6.0,facility,F43Y
called,2.0,called,C430
park,14.0,park,P200
established,1.0,established,E142
early,2.0,early,EY00
march,3.0,march,M2H0
david,1.0,david,D300
bentley,11.0,bentley,B34Y
daughter,33.0,daughter,DH36
caroline,3.0,caroline,C450
wood,4.0,wood,W000
subscription,3.0,subscription,S261
news,20.0,news,N200
service,2.0,service,S120
focuses,3.0,focuses,F200
business,1.0,business,B520
political,17.0,political,P324
throughout,1.0,throughout,T62H
articles,2.0,articles,A242
protected,3.0,protected,P323
hard,1.0,hard,H300
paywall,1.0,paywall,PW40
prevents,2.0,prevents,P153
nonsubscribers,2.0,nonsubscribers,N212
viewing,7.0,viewing,V520
newspaper,2.0,newspaper,N216
subscribers,6.0,subscribers,S261
employed,3.0,employed,E4Y3
paid,3.0,paid,P000
launched,5.0,launched,L2H3
sisterpublication,1.0,sisterpublication,S361
allnewfoundlandlabrador,1.0,allnewfoundlandlabrador,A5W1
st,3.0,st,S000
johns,1.0,johns,J520
newfoundland,9.0,newfoundland,N153
labrador,2.0,labrador,L636
canadian,8.0,canadian,C350
avc,1.0,avc,A000
teams,33.0,teams,T200
entered,14.0,entered,E630
qualification,1.0,qualification,Q123
yemen,4.0,yemen,Y500
later,5.0,later,L600
withdrew,5.0,withdrew,WH36
distributed,1.0,distributed,D361
according,1.0,according,A635
geographical,3.0,geographical,G61H
positions,1.0,positions,P352
ranked,8.0,ranked,R230
fivb,2.0,fivb,F100
world,1.0,world,W430
rankings,1.0,rankings,R252
compete,8.0,compete,C130
zonal,2.0,zonal,Z400
rounds,5.0,rounds,R320
automatically,4.0,automatically,A324
qualified,3.0,qualified,Q130
final,28.0,final,F400
round,18.0,round,R300
zealand,22.0,zealand,Z530
registered,9.0,registered,R236
team,2.0,team,T000
arab,28.0,arab,A000
lankachinese,1.0,lankachinese,L2H5
subzonal,6.0,subzonal,S254
western,24.0,western,W365
sixteen,1.0,sixteen,S350
remaining,7.0,remaining,R520
position,4.0,position,P350
senior,15.0,senior,S600
mens,1.0,mens,M200
january,3.0,january,J6Y0
using,22.0,using,U200
serpentine,2.0,serpentine,S153
system,1.0,system,S235
distribution,1.0,distribution,D361
shown,2.0,shown,SW50
bracketsaustralia,1.0,bracketsaustralia,B232
taipei,1.0,taipei,T000
arabia,11.0,arabia,A000
korea,2.0,korea,K000
academic,9.0,academic,A520
journal,5.0,journal,J540
itsee,2.0,itsee,I000
tips,2.0,tips,T200
writing,2.0,writing,W352
journals,2.0,journals,J542
suggestions,2.0,suggestions,S235
might,2.0,might,MH30
found,3.0,found,F300
talk,2.0,talk,T200
pagearka,1.0,pagearka,P620
gdynia,1.0,gdynia,GY50
rugby,14.0,rugby,R1Y0
clubs,8.0,clubs,C120
history,21.0,history,H36Y
begins,3.0,begins,B520
arka,2.0,arka,A000
hooligans,1.0,hooligans,H252
decided,14.0,decided,D300
start,14.0,start,S630
forming,1.0,forming,F520
winning,12.0,winning,W520
sevens,2.0,sevens,S520
tournament,1.0,tournament,T530
sopot,1.0,sopot,S300
date,1.0,date,D000
performances,9.0,performances,P165
league,1.0,league,L000
began,3.0,began,B500
season,76.0,season,S500
bulldogs,2.0,bulldogs,B432
medal,1.0,medal,M400
four,2.0,four,F000
years,5.0,years,Y200
time,5.0,time,T000
best,1.0,best,B300
one,6.0,one,O000
championshipthis,1.0,championshipthis,C515
union,3.0,union,U000
itthis,20.0,itthis,IH20
polish,3.0,polish,P2H0
sports,1.0,sports,S632
club,92.0,club,C100
itthe,1.0,itthe,IH00
may,3.0,may,M000
show,2.0,show,SW00
featured,17.0,featured,F630
iwrg,7.0,iwrg,I200
intercontinental,3.0,intercontinental,I625
middleweight,1.0,middleweight,M34W
championship,1.0,championship,C515
declared,7.0,declared,D463
vacant,4.0,vacant,V530
inactive,1.0,inactive,I310
prior,15.0,prior,P600
eightman,1.0,eightman,E350
oficial,2.0,oficial,O400
overall,9.0,overall,O400
match,16.0,match,M2H0
noniwrg,1.0,noniwrg,NW62
eterno,2.0,eterno,E500
defended,3.0,defended,D530
wws,2.0,wws,W200
welterweight,2.0,welterweight,W36W
title,1.0,title,T400
originated,4.0,originated,O530
outside,1.0,outside,O300
lightweight,1.0,lightweight,LH3W
successfully,13.0,successfully,S214
defendedthe,1.0,defendedthe,D53H
august,44.0,august,A300
version,1.0,version,V250
caravana,1.0,caravana,C150
de,1.0,de,D000
campeones,1.0,campeones,C152
matches,8.0,matches,M2H2
total,2.0,total,T400
saw,3.0,saw,S000
change,1.0,change,C520
hands,6.0,hands,H320
golden,5.0,golden,G350
magic,3.0,magic,M200
defeated,2.0,defeated,D300
win,17.0,win,W000
el,4.0,el,E000
hijo,1.0,hijo,H000
pirata,1.0,pirata,P300
morgan,1.0,morgan,M250
factor,6.0,factor,F360
rey,3.0,rey,R000
del,3.0,del,D000
ring,3.0,ring,R200
furthermore,1.0,furthermore,F3H6
junior,8.0,junior,J600
juniors,5.0,juniors,J620
heavyweight,3.0,heavyweight,HYW2
distrito,1.0,distrito,D363
federal,13.0,federal,F640
trios,5.0,trios,T200
respective,2.0,respective,R123
championsthis,1.0,championsthis,C515
biographical,2.0,biographical,B61H
related,3.0,related,R300
norwegian,37.0,norwegian,NW25
handball,5.0,handball,H314
itbetween,2.0,itbetween,I3W5
release,31.0,release,R200
us,49.0,us,U000
air,2.0,air,A000
force,1.0,force,F200
signing,3.0,signing,S520
motown,5.0,motown,MW50
recordss,1.0,recordss,R632
tamla,3.0,tamla,T400
label,4.0,label,L400
marvin,1.0,marvin,M150
gaye,20.0,gaye,G000
struggling,10.0,struggling,S624
find,16.0,find,F300
identity,3.0,identity,I3Y0
music,24.0,music,M200
long,3.0,long,L200
admirer,4.0,admirer,A600
different,22.0,different,D165
forms,1.0,forms,F520
n,48.0,n,N000
roll,2.0,roll,R400
blues,5.0,blues,B200
jazz,8.0,jazz,J200
doowop,1.0,doowop,D100
sought,6.0,sought,SH30
mix,4.0,mix,M000
styles,2.0,styles,SY42
nat,3.0,nat,N000
king,1.0,king,K200
cole,9.0,cole,C000
billy,19.0,billy,B4Y0
eckstine,1.0,eckstine,E235
little,10.0,little,L340
willie,4.0,willie,W400
john,6.0,john,J500
jesse,2.0,jesse,J200
belvin,1.0,belvin,B150
getting,7.0,getting,G352
involved,1.0,involved,I413
groups,21.0,groups,G120
marquees,1.0,marquees,M200
joined,1.0,joined,J300
following,1.0,following,F4W5
honorable,2.0,honorable,H614
discharge,6.0,discharge,D2H6
tenure,17.0,tenure,T600
forces,10.0,forces,F200
soon,1.0,soon,S000
replaced,1.0,replaced,R423
harvey,8.0,harvey,H1Y0
fuquas,1.0,fuquas,F200
group,47.0,group,G100
moonglows,2.0,moonglows,M24W
moniker,1.0,moniker,M260
reese,1.0,reese,R000
palmer,2.0,palmer,P560
leads,4.0,leads,L200
take,54.0,take,T000
lead,10.0,lead,L000
vocal,1.0,vocal,V400
parts,14.0,parts,P320
including,2.0,including,I435
speaking,3.0,speaking,S252
intro,1.0,intro,I600
ending,9.0,ending,E520
single,1.0,single,S240
months,2.0,months,M3H2
year,2.0,year,Y000
sung,16.0,sung,S200
song,25.0,song,S200
mama,13.0,mama,M000
loochie,1.0,loochie,LH00
songs,16.0,songs,S200
released,1.0,released,R230
chess,30.0,chess,C200
period,15.0,period,P300
background,6.0,background,B265
notable,1.0,notable,N140
acts,3.0,acts,A200
chuck,1.0,chuck,C200
berry,13.0,berry,B6Y0
almost,20.0,almost,A230
grown,1.0,grown,GW50
etta,1.0,etta,E000
james,26.0,james,J200
chained,2.0,chained,C530
rocking,6.0,rocking,R252
chairafter,1.0,chairafter,C613
living,9.0,living,L520
chicago,8.0,chicago,C200
tour,5.0,tour,T000
detroit,2.0,detroit,D630
fuqua,4.0,fuqua,F000
split,3.0,split,S430
get,1.0,get,G000
musicallydeveloping,1.0,musicallydeveloping,M24Y
contract,3.0,contract,C362
triphi,2.0,triphi,T1H0
records,15.0,records,R632
assigned,3.0,assigned,A253
thengirlfriend,1.0,thengirlfriend,T526
gwen,6.0,gwen,G500
gordys,3.0,gordys,G3Y2
anna,5.0,anna,A000
would,4.0,would,W300
drumming,3.0,drumming,D520
notably,5.0,notably,N14Y
spinners,1.0,spinners,S562
debut,1.0,debut,D300
hit,12.0,hit,H000
thats,3.0,thats,T320
girls,20.0,girls,G420
made,1.0,made,M000
forin,1.0,forin,F500
december,1.0,december,D516
introduced,1.0,introduced,I632
ceo,1.0,ceo,C000
gordy,7.0,gordy,G3Y0
motowns,2.0,motowns,MW52
annual,1.0,annual,A400
christmas,32.0,christmas,C623
party,1.0,party,P3Y0
playing,25.0,playing,PY52
piano,2.0,piano,P000
